Timestamp,Weight Loss Range,Fallen ill,Gender
11/5/2022 19:22:05,2 - 4 kg,Yes,Female
11/5/2022 19:23:05,5 - 6 kg,Yes,Male
11/5/2022 19:23:17,2 - 4 kg,Yes,Female
11/5/2022 19:23:26,2 - 4 kg,Yes,Male
11/5/2022 19:23:33,5 - 6 kg,No,Male
11/5/2022 19:23:37,2 - 4 kg,Yes,Female
11/5/2022 19:23:38,Above 6 kg,No,Male
11/5/2022 19:23:40,2 - 4 kg,Yes,Male
11/5/2022 19:24:16,2 - 4 kg,Yes,Male
11/5/2022 19:24:16,Above 6 kg,Yes,Male
11/5/2022 19:24:30,2 - 4 kg,Yes,Male
11/5/2022 19:24:51,Above 6 kg,No,Male
11/5/2022 19:25:10,Above 6 kg,Yes,Male
11/5/2022 19:25:12,5 - 6 kg,No,Male
11/5/2022 19:25:31,2 - 4 kg,Yes,Male
11/5/2022 19:26:31,2 - 4 kg,Yes,Male
11/5/2022 19:32:00,2 - 4 kg,No,Male
11/5/2022 19:32:14,2 - 4 kg,Yes,Male
11/5/2022 19:33:55,5 - 6 kg,Yes,Male
11/5/2022 19:34:05,Above 6 kg,No,Male
11/5/2022 19:36:53,Above 6 kg,Yes,Female
11/5/2022 19:38:24,2 - 4 kg,No,Male
11/5/2022 19:39:51,2 - 4 kg,No,Female
11/5/2022 19:40:11,Above 6 kg,Yes,Male
11/5/2022 19:43:33,2 - 4 kg,Yes,Female
11/5/2022 19:44:13,2 - 4 kg,Yes,Female
11/5/2022 19:44:16,5 - 6 kg,No,Male
11/5/2022 19:44:19,Above 6 kg,Yes,Male
11/5/2022 19:44:25,Above 6 kg,Yes,Male
11/5/2022 19:44:29,Above 6 kg,Yes,Male
11/5/2022 19:44:30,Above 6 kg,Yes,Male
11/5/2022 19:44:35,Above 6 kg,No,Male
11/5/2022 19:44:44,Above 6 kg,No,Male
11/5/2022 19:44:48,2 - 4 kg,No,Male
11/5/2022 19:44:51,2 - 4 kg,Yes,Male
11/5/2022 19:45:07,2 - 4 kg,Yes,Female
11/5/2022 19:45:15,2 - 4 kg,Yes,Male
11/5/2022 19:45:15,2 - 4 kg,No,Male
11/5/2022 19:45:15,5 - 6 kg,Yes,Male
11/5/2022 19:45:31,2 - 4 kg,Yes,Female
11/5/2022 19:45:38,2 - 4 kg,Yes,Male
11/5/2022 19:45:40,2 - 4 kg,Yes,Male
11/5/2022 19:45:47,2 - 4 kg,No,Male
11/5/2022 19:46:01,2 - 4 kg,Yes,Male
11/5/2022 19:46:18,5 - 6 kg,Yes,Male
11/5/2022 19:46:28,5 - 6 kg,Yes,Male
11/5/2022 19:47:33,Above 6 kg,No,Female
11/5/2022 19:47:48,2 - 4 kg,No,Male
11/5/2022 19:48:10,2 - 4 kg,Yes,Male
11/5/2022 19:50:32,2 - 4 kg,No,Male
11/5/2022 19:52:41,2 - 4 kg,Yes,Male
11/5/2022 19:59:33,2 - 4 kg,Yes,Male
11/5/2022 20:02:39,Above 6 kg,No,Male
11/5/2022 20:02:42,5 - 6 kg,Yes,Male
11/5/2022 20:03:36,5 - 6 kg,Yes,Male
11/5/2022 20:04:05,Above 6 kg,Yes,Male
11/5/2022 20:04:17,Above 6 kg,Yes,Male
